year,技术路线,专利数,创新主体数,企业专利数,当年全国专利占比
2021,生物设计、读写与自动化工具,371,218,68,0.07565252854812399
2022,生物设计、读写与自动化工具,537,285,104,0.09407848633496846
2023,生物设计、读写与自动化工具,701,374,173,0.10655114759081927
2024,生物设计、读写与自动化工具,615,371,174,0.10783798001052078
2025,生物设计、读写与自动化工具,583,300,113,0.11864061864061864
2021,酶与蛋白质工程,456,220,113,0.0929853181076672
2022,酶与蛋白质工程,519,241,128,0.09092501751927119
2023,酶与蛋白质工程,575,293,184,0.08739930080559355
2024,酶与蛋白质工程,459,272,158,0.08048395581273014
2025,酶与蛋白质工程,525,256,171,0.10683760683760683
2021,细胞工厂与菌株工程,399,204,86,0.0813621533442088
2022,细胞工厂与菌株工程,520,234,130,0.09110021023125438
2023,细胞工厂与菌株工程,541,261,141,0.08223134214926281
2024,细胞工厂与菌株工程,443,226,102,0.077678414869367
2025,细胞工厂与菌株工程,367,216,99,0.07468457468457468
2021,生物过程与规模化,1864,1063,868,0.3800978792822186
2022,生物过程与规模化,1950,1113,902,0.3416257883672039
2023,生物过程与规模化,2352,1373,1243,0.35750113999088007
2024,生物过程与规模化,2117,1414,1283,0.37120813606873576
2025,生物过程与规模化,1509,1051,854,0.3070818070818071
2021,原料与低碳路线,50,44,10,0.010195758564437194
2022,原料与低碳路线,60,46,18,0.01051156271899089
2023,原料与低碳路线,77,57,16,0.01170390636874905
2024,原料与低碳路线,71,63,21,0.012449587936173944
2025,原料与低碳路线,61,53,7,0.012413512413512413
2021,生物制造产品与应用,1663,870,540,0.3391109298531811
2022,生物制造产品与应用,1964,932,666,0.34407848633496846
2023,生物制造产品与应用,2132,1119,877,0.3240614075087399
2024,生物制造产品与应用,1847,1100,850,0.32386463264948273
2025,生物制造产品与应用,1728,945,638,0.3516483516483517
2021,前沿制造与基础支撑,101,63,26,0.02059543230016313
2022,前沿制造与基础支撑,158,94,31,0.027680448493342676
2023,前沿制造与基础支撑,201,129,66,0.030551755585955312
2024,前沿制造与基础支撑,151,113,53,0.026477292652989655
2025,前沿制造与基础支撑,141,105,42,0.028693528693528692
