省级地区,year,活跃企业数,企业专利数,新进入企业数,新进入企业占比
上海,2021,68,89,68.0,1.0
上海,2022,81,136,74.0,0.9135802469135802
上海,2023,119,180,93.0,0.7815126050420168
上海,2024,127,173,100.0,0.7874015748031497
上海,2025,92,131,63.0,0.6847826086956522
北京,2021,79,133,79.0,1.0
北京,2022,126,211,106.0,0.8412698412698413
北京,2023,123,190,90.0,0.7317073170731707
北京,2024,108,162,65.0,0.6018518518518519
北京,2025,83,106,52.0,0.6265060240963856
安徽,2021,48,57,48.0,1.0
安徽,2022,45,75,33.0,0.7333333333333333
安徽,2023,58,84,45.0,0.7758620689655172
安徽,2024,48,64,36.0,0.75
安徽,2025,34,60,21.0,0.6176470588235294
广东,2021,182,243,182.0,1.0
广东,2022,213,282,187.0,0.8779342723004695
广东,2023,305,461,234.0,0.7672131147540984
广东,2024,324,453,233.0,0.7191358024691358
广东,2025,238,319,156.0,0.6554621848739496
江苏,2021,138,177,138.0,1.0
江苏,2022,160,213,132.0,0.825
江苏,2023,230,358,176.0,0.7652173913043478
江苏,2024,268,390,177.0,0.6604477611940298
江苏,2025,169,229,103.0,0.6094674556213018
浙江,2021,130,165,130.0,1.0
浙江,2022,105,127,77.0,0.7333333333333333
浙江,2023,122,175,90.0,0.7377049180327869
浙江,2024,122,162,89.0,0.7295081967213115
浙江,2025,115,153,73.0,0.6347826086956522
