第一申请人,城市,专利数,活跃年份数,最早年份,最晚年份,主要技术路线,主要原始技术方向,技术路线覆盖
上海凯赛生物技术股份有限公司,上海,75,5,2021,2025,生物过程与规模化,生物过程与规模化,生物过程与规模化；生物制造产品与应用；原料与低碳路线；酶与蛋白质工程；细胞工厂与菌株工程
康码(上海)生物科技有限公司,上海,17,3,2022,2024,生物制造产品与应用,产品与应用,生物制造产品与应用；前沿制造与基础支撑；生物设计、读写与自动化工具；生物过程与规模化；细胞工厂与菌株工程
光明乳业股份有限公司,上海,10,4,2021,2024,生物过程与规模化,生物过程与规模化,生物过程与规模化；细胞工厂与菌株工程；生物制造产品与应用；酶与蛋白质工程；生物设计、读写与自动化工具
丰益(上海)生物技术研发中心有限公司,上海,9,5,2021,2025,生物制造产品与应用,产品与应用,生物制造产品与应用；生物过程与规模化；酶与蛋白质工程
国投生物科技投资有限公司,上海,7,3,2021,2024,生物制造产品与应用,产品与应用,生物过程与规模化；生物制造产品与应用；原料与低碳路线
上海新高姿化妆品有限公司,上海,7,2,2022,2023,生物制造产品与应用,产品与应用,生物制造产品与应用
上海洁士宝日化集团有限公司,上海,7,1,2022,2022,生物制造产品与应用,产品与应用,生物制造产品与应用
上海昌进生物科技有限公司,上海,6,2,2024,2025,生物制造产品与应用,产品与应用,生物制造产品与应用；生物过程与规模化；细胞工厂与菌株工程
上海锐康生物技术研发有限公司,上海,6,2,2024,2025,生物制造产品与应用,产品与应用,酶与蛋白质工程；生物制造产品与应用；生物过程与规模化；细胞工厂与菌株工程
上海爱萨尔生物科技有限公司,上海,6,2,2022,2024,前沿制造与基础支撑,前沿生物制造,前沿制造与基础支撑；生物制造产品与应用
上海农乐生物制品股份有限公司,上海,6,2,2022,2023,生物过程与规模化,生物过程与规模化,生物过程与规模化；生物制造产品与应用
上海邦林生物科技有限公司,上海,5,3,2023,2025,酶与蛋白质工程,酶与蛋白质工程,生物制造产品与应用；酶与蛋白质工程
安及义实业(上海)有限公司,上海,5,3,2023,2025,生物过程与规模化,生物过程与规模化,生物过程与规模化
上海南方模式生物科技股份有限公司,上海,5,3,2022,2024,生物设计、读写与自动化工具,DNA/RNA读写编辑,生物设计、读写与自动化工具；生物制造产品与应用
上海食未生物科技有限公司,上海,5,2,2024,2025,生物制造产品与应用,产品与应用,生物制造产品与应用
百岳特生物技术(上海)有限公司,上海,5,2,2022,2023,生物过程与规模化,生物过程与规模化,生物制造产品与应用；生物过程与规模化
科丝美诗(中国)化妆品有限公司,上海,5,2,2022,2023,生物过程与规模化,生物过程与规模化,生物过程与规模化；生物制造产品与应用
星奕昂(上海)生物科技有限公司,上海,5,1,2025,2025,前沿制造与基础支撑,前沿生物制造,生物设计、读写与自动化工具；前沿制造与基础支撑；细胞工厂与菌株工程
西宝生物科技(上海)股份有限公司,上海,4,3,2023,2025,生物过程与规模化,生物过程与规模化,生物过程与规模化；细胞工厂与菌株工程
上海汉禾生物新材料科技有限公司,上海,4,3,2021,2024,生物过程与规模化,生物过程与规模化,原料与低碳路线；生物过程与规模化；生物设计、读写与自动化工具
