第一申请人,主体类型,城市,专利数,活跃年份数,最早年份,最晚年份,主要技术路线,主要原始技术方向,技术路线覆盖
华东理工大学,高校,上海,139,5,2021,2025,生物过程与规模化,生物过程与规模化,生物制造产品与应用；生物过程与规模化；酶与蛋白质工程；细胞工厂与菌株工程；原料与低碳路线；生物设计、读写与自动化工具；前沿制造与基础支撑
上海交通大学,高校,上海,133,5,2021,2025,生物制造产品与应用,产品与应用,生物设计、读写与自动化工具；生物制造产品与应用；前沿制造与基础支撑；酶与蛋白质工程；生物过程与规模化；细胞工厂与菌株工程
同济大学,高校,上海,60,5,2021,2025,生物过程与规模化,生物过程与规模化,生物过程与规模化；生物制造产品与应用；生物设计、读写与自动化工具；酶与蛋白质工程；细胞工厂与菌株工程；前沿制造与基础支撑
上海市农业科学院,科研院所,上海,55,5,2021,2025,生物制造产品与应用,产品与应用,生物过程与规模化；生物制造产品与应用；酶与蛋白质工程；生物设计、读写与自动化工具；细胞工厂与菌株工程；前沿制造与基础支撑
复旦大学,高校,上海,55,5,2021,2025,生物制造产品与应用,产品与应用,生物制造产品与应用；酶与蛋白质工程；细胞工厂与菌株工程；生物过程与规模化；生物设计、读写与自动化工具；前沿制造与基础支撑
中国科学院分子植物科学卓越创新中心,科研院所,上海,37,5,2021,2025,细胞工厂与菌株工程,代谢工程与细胞工厂,细胞工厂与菌株工程；生物设计、读写与自动化工具；前沿制造与基础支撑；生物制造产品与应用；生物过程与规模化；酶与蛋白质工程
华东师范大学,高校,上海,36,5,2021,2025,生物设计、读写与自动化工具,DNA/RNA读写编辑,生物过程与规模化；细胞工厂与菌株工程；生物设计、读写与自动化工具；酶与蛋白质工程；生物制造产品与应用
上海大学,高校,上海,23,5,2021,2025,前沿制造与基础支撑,前沿生物制造,前沿制造与基础支撑；生物制造产品与应用；生物过程与规模化；酶与蛋白质工程
上海应用技术大学,高校,上海,23,5,2021,2025,生物制造产品与应用,产品与应用,生物过程与规模化；生物制造产品与应用；酶与蛋白质工程；细胞工厂与菌株工程
上海医药工业研究院,科研院所,上海,23,4,2021,2024,生物过程与规模化,生物过程与规模化,生物过程与规模化；生物制造产品与应用；酶与蛋白质工程；细胞工厂与菌株工程
东华大学,高校,上海,22,5,2021,2025,生物过程与规模化,生物过程与规模化,生物过程与规模化；前沿制造与基础支撑；酶与蛋白质工程；生物制造产品与应用；细胞工厂与菌株工程
上海海洋大学,高校,上海,18,5,2021,2025,生物过程与规模化,生物过程与规模化,生物过程与规模化；生物制造产品与应用；生物设计、读写与自动化工具；细胞工厂与菌株工程
中国科学院上海高等研究院,科研院所,上海,16,5,2021,2025,生物过程与规模化,生物过程与规模化,生物制造产品与应用；生物过程与规模化；细胞工厂与菌株工程；生物设计、读写与自动化工具；酶与蛋白质工程；原料与低碳路线
上海理工大学,高校,上海,15,4,2022,2025,生物过程与规模化,生物过程与规模化,生物过程与规模化；生物制造产品与应用；生物设计、读写与自动化工具；前沿制造与基础支撑；细胞工厂与菌株工程
上海师范大学,高校,上海,12,3,2022,2024,生物制造产品与应用,产品与应用,生物过程与规模化；生物制造产品与应用；细胞工厂与菌株工程；原料与低碳路线
上海中医药大学,高校,上海,11,5,2021,2025,生物设计、读写与自动化工具,DNA/RNA读写编辑,生物过程与规模化；细胞工厂与菌株工程；生物设计、读写与自动化工具；酶与蛋白质工程；生物制造产品与应用
上海科技大学,高校,上海,11,5,2021,2025,生物设计、读写与自动化工具,DNA/RNA读写编辑,生物设计、读写与自动化工具；前沿制造与基础支撑
中国人民解放军第二军医大学,高校,上海,11,3,2021,2023,生物制造产品与应用,产品与应用,生物过程与规模化；生物制造产品与应用；细胞工厂与菌株工程
中国科学院上海有机化学研究所,科研院所,上海,6,4,2021,2024,细胞工厂与菌株工程,DNA/RNA读写编辑,生物制造产品与应用；细胞工厂与菌株工程；生物设计、读写与自动化工具；生物过程与规模化
上海市农业生物基因中心,科研院所,上海,6,3,2023,2025,生物制造产品与应用,产品与应用,生物设计、读写与自动化工具；生物制造产品与应用
