year,技术方向,专利数,创新主体数,企业专利数,企业数,当年全国专利占比
2021,量子计算,173,59,106,16,0.22236503856041132
2022,量子计算,207,94,112,38,0.19008264462809918
2023,量子计算,385,118,257,49,0.27598566308243727
2024,量子计算,738,192,488,82,0.37104072398190047
2025,量子计算,596,246,387,143,0.31922870915907875
2021,量子通信与安全,297,109,146,50,0.38174807197943444
2022,量子通信与安全,444,142,246,75,0.40771349862258954
2023,量子通信与安全,500,169,305,94,0.35842293906810035
2024,量子通信与安全,543,202,321,124,0.2730015082956259
2025,量子通信与安全,566,248,356,155,0.30316014997321905
2021,量子传感,218,126,44,40,0.2802056555269923
2022,量子传感,315,138,77,38,0.2892561983471074
2023,量子传感,312,185,122,88,0.22365591397849463
2024,量子传感,453,235,162,103,0.2277526395173454
2025,量子传感,428,258,152,132,0.2292447777182646
2021,量子计算硬件,54,37,17,12,0.06940874035989718
2022,量子计算硬件,62,37,20,12,0.05693296602387511
2023,量子计算硬件,113,50,54,19,0.08100358422939068
2024,量子计算硬件,163,59,92,26,0.08195072900955254
2025,量子计算硬件,139,69,71,33,0.07445099089448312
2021,量子基础概念,36,28,2,2,0.04627249357326478
2022,量子基础概念,61,44,11,8,0.05601469237832874
2023,量子基础概念,85,58,26,18,0.06093189964157706
2024,量子基础概念,92,75,38,36,0.04625439919557567
2025,量子基础概念,138,126,68,67,0.07391537225495447
