省级地区,year,专利数,创新主体数,企业专利数,企业数,当年全国专利占比,当年专利排名
上海,2021,65,24,27,12,0.08354755784061697,5
上海,2022,64,23,25,8,0.05876951331496786,6
上海,2023,64,29,34,16,0.045878136200716846,6
上海,2024,71,30,42,17,0.03569632981397687,8
上海,2025,91,40,41,19,0.04874129619710766,7
北京,2021,187,52,74,18,0.2403598971722365,1
北京,2022,226,62,102,24,0.20752984389348025,1
北京,2023,342,88,201,39,0.24516129032258063,1
北京,2024,430,93,233,43,0.2161890397184515,2
北京,2025,383,137,222,89,0.2051419389394751,1
安徽,2021,66,9,46,5,0.08483290488431877,4
安徽,2022,125,19,94,12,0.1147842056932966,2
安徽,2023,232,31,192,22,0.16630824372759856,2
安徽,2024,511,51,411,38,0.25691302161890395,1
安徽,2025,376,46,286,35,0.20139260846277451,2
广东,2021,52,29,32,18,0.06683804627249357,6
广东,2022,95,42,58,25,0.08723599632690542,5
广东,2023,151,61,87,42,0.1082437275985663,4
广东,2024,159,82,114,55,0.07993966817496229,4
广东,2025,168,95,126,75,0.08998393144081414,4
江苏,2021,73,29,25,13,0.09383033419023136,3
江苏,2022,124,38,64,22,0.11386593204775022,3
江苏,2023,157,54,79,37,0.11254480286738351,3
江苏,2024,205,63,99,42,0.10306686777275012,3
江苏,2025,188,69,95,46,0.10069630423138726,3
浙江,2021,94,18,68,8,0.12082262210796915,2
浙江,2022,99,29,63,17,0.09090909090909091,4
浙江,2023,111,28,78,15,0.07956989247311828,5
浙江,2024,114,54,61,35,0.05731523378582202,5
浙江,2025,118,64,67,42,0.06320299946438136,5
