省级地区,技术方向,专利数,创新主体数,地区内专利占比
上海,量子计算,64,24,0.18028169014084508
北京,量子计算,472,89,0.3010204081632653
安徽,量子计算,606,35,0.46259541984732827
广东,量子计算,149,65,0.2384
江苏,量子计算,211,53,0.2824631860776439
浙江,量子计算,175,32,0.32649253731343286
上海,量子通信与安全,129,30,0.36338028169014086
北京,量子通信与安全,508,105,0.3239795918367347
安徽,量子通信与安全,409,41,0.31221374045801525
广东,量子通信与安全,238,66,0.3808
江苏,量子通信与安全,306,64,0.40963855421686746
浙江,量子通信与安全,189,51,0.35261194029850745
上海,量子传感,121,46,0.3408450704225352
北京,量子传感,345,101,0.22002551020408162
安徽,量子传感,164,44,0.1251908396946565
广东,量子传感,140,84,0.224
江苏,量子传感,133,69,0.17804551539491298
浙江,量子传感,100,38,0.1865671641791045
上海,量子计算硬件,30,10,0.08450704225352113
北京,量子计算硬件,163,25,0.10395408163265306
安徽,量子计算硬件,101,14,0.07709923664122137
广东,量子计算硬件,57,26,0.0912
江苏,量子计算硬件,46,17,0.06157965194109773
浙江,量子计算硬件,43,13,0.08022388059701492
上海,量子基础概念,11,7,0.030985915492957747
北京,量子基础概念,80,44,0.05102040816326531
安徽,量子基础概念,30,15,0.022900763358778626
广东,量子基础概念,41,37,0.0656
江苏,量子基础概念,51,24,0.06827309236947791
浙江,量子基础概念,29,20,0.054104477611940295
