第一申请人,城市,专利数,活跃年份数,最早年份,最晚年份,主要技术方向,技术方向覆盖
国科量子通信网络有限公司,上海,47,5,2021,2025,量子通信与安全,量子通信与安全
上海循态量子科技有限公司,上海,19,4,2021,2025,量子通信与安全,量子通信与安全；量子基础概念
上海国盾量子信息技术有限公司,上海,13,3,2021,2024,量子通信与安全,量子通信与安全
上海图灵智算量子科技有限公司,上海,9,4,2022,2025,量子计算,量子计算；量子计算硬件
上海裕达实业有限公司,上海,9,4,2021,2025,量子计算硬件,量子计算硬件
上海循态信息科技有限公司,上海,8,1,2021,2021,量子通信与安全,量子通信与安全
建信金融科技有限责任公司,上海,6,3,2023,2025,量子计算,量子计算；量子通信与安全
上海量羲技术有限公司,上海,5,2,2024,2025,量子计算硬件,量子计算；量子计算硬件
上海联影医疗科技股份有限公司,上海,4,2,2022,2023,量子传感,量子传感
中国银联股份有限公司,上海,3,1,2025,2025,量子计算,量子计算；量子通信与安全
上海微观纪元数字科技有限公司,上海,2,2,2023,2025,量子通信与安全,量子通信与安全；量子计算
国网上海市电力公司,上海,2,2,2024,2025,量子通信与安全,量子通信与安全；量子传感
日晷科技(上海)有限公司,上海,2,1,2024,2024,量子通信与安全,量子通信与安全
上海交大知识产权管理有限公司,上海,2,1,2023,2023,量子计算,量子计算
上海国科航星量子科技有限公司,上海,2,1,2022,2022,量子通信与安全,量子通信与安全
上海亦波亦粒科技有限公司,上海,1,1,2025,2025,量子计算,量子计算
上海助通信息科技有限公司,上海,1,1,2025,2025,量子通信与安全,量子通信与安全
上海同态信息科技有限责任公司,上海,1,1,2025,2025,量子通信与安全,量子通信与安全
上海循源生物科技有限公司,上海,1,1,2025,2025,量子基础概念,量子基础概念
上海旺脉信息科技集团有限公司,上海,1,1,2025,2025,量子计算,量子计算
