第一申请人,主体类型,城市,专利数,活跃年份数,最早年份,最晚年份,主要技术方向,技术方向覆盖
上海交通大学,高校,上海,42,5,2021,2025,量子传感,量子通信与安全；量子计算；量子计算硬件；量子传感；量子基础概念
复旦大学,高校,上海,19,5,2021,2025,量子传感,量子计算硬件；量子传感；量子计算；量子通信与安全
中国科学院上海微系统与信息技术研究所,科研院所,上海,19,4,2022,2025,量子计算,量子计算；量子传感；量子通信与安全；量子计算硬件
华东师范大学,高校,上海,15,5,2021,2025,量子传感,量子基础概念；量子传感；量子计算硬件；量子计算
中国科学院上海光学精密机械研究所,科研院所,上海,13,5,2021,2025,量子传感,量子传感；量子计算硬件；量子基础概念
中国科学院微小卫星创新研究院,科研院所,上海,10,4,2021,2024,量子传感,量子通信与安全；量子传感
华东计算技术研究所(中国电子科技集团公司第三十二研究所),科研院所,上海,10,4,2021,2025,量子计算硬件,量子计算硬件；量子计算；量子通信与安全
上海海事大学,高校,上海,6,3,2022,2025,量子计算,量子计算；量子计算硬件
中国科学院上海技术物理研究所,科研院所,上海,6,3,2022,2025,量子通信与安全,量子通信与安全；量子传感
上海航天测控通信研究所,科研院所,上海,5,3,2021,2023,量子传感,量子传感
东华大学,高校,上海,5,3,2021,2025,量子通信与安全,量子通信与安全
中国科学院上海天文台,科研院所,上海,4,3,2022,2025,量子传感,量子传感
同济大学,高校,上海,4,1,2022,2022,量子传感,量子传感；量子通信与安全
上海卫星工程研究所,科研院所,上海,3,3,2021,2025,量子传感,量子传感
上海大学,高校,上海,3,3,2021,2024,量子基础概念,量子基础概念；量子传感；量子通信与安全
上海理工大学,高校,上海,2,2,2021,2022,量子传感,量子传感；量子基础概念
上海电力大学,高校,上海,2,1,2024,2024,量子计算,量子计算
上海量子科学研究中心,科研院所,上海,2,1,2025,2025,量子传感,量子传感；量子通信与安全
上海交通大学医学院附属仁济医院,高校,上海,1,1,2025,2025,量子计算,量子计算
上海交通大学医学院附属瑞金医院,高校,上海,1,1,2025,2025,量子传感,量子传感
