省级地区,类别,专利数,地区内占比
上海市,上游材料与核心部件,3,0.008450704225352112
上海市,其他量子相关/待复核,16,0.04507042253521127
上海市,量子传感器/精密测量,32,0.09014084507042254
上海市,量子计算硬件/量子芯片,30,0.08450704225352113
上海市,量子计算系统,57,0.16056338028169015
上海市,量子计量/时间频率/PNT候选,82,0.23098591549295774
上海市,量子软件/算法/模拟,7,0.01971830985915493
上海市,量子通信与安全,128,0.36056338028169016
北京市,上游材料与核心部件,4,0.002551020408163265
北京市,其他量子相关/待复核,96,0.061224489795918366
北京市,量子传感器/精密测量,122,0.0778061224489796
北京市,量子计算硬件/量子芯片,165,0.10522959183673469
北京市,量子计算系统,451,0.28762755102040816
北京市,量子计量/时间频率/PNT候选,181,0.11543367346938775
北京市,量子软件/算法/模拟,46,0.029336734693877552
北京市,量子通信与安全,503,0.3207908163265306
安徽省,上游材料与核心部件,1,0.0007633587786259542
安徽省,其他量子相关/待复核,38,0.02900763358778626
安徽省,量子传感器/精密测量,104,0.07938931297709924
安徽省,量子计算硬件/量子芯片,105,0.08015267175572519
安徽省,量子计算系统,583,0.4450381679389313
安徽省,量子计量/时间频率/PNT候选,17,0.012977099236641221
安徽省,量子软件/算法/模拟,53,0.04045801526717557
安徽省,量子通信与安全,409,0.31221374045801525
江苏省,上游材料与核心部件,0,0.0
江苏省,其他量子相关/待复核,68,0.09103078982597054
江苏省,量子传感器/精密测量,51,0.06827309236947791
江苏省,量子计算硬件/量子芯片,49,0.06559571619812583
江苏省,量子计算系统,205,0.2744310575635877
江苏省,量子计量/时间频率/PNT候选,48,0.0642570281124498
江苏省,量子软件/算法/模拟,20,0.02677376171352075
江苏省,量子通信与安全,306,0.40963855421686746
浙江省,上游材料与核心部件,4,0.007462686567164179
浙江省,其他量子相关/待复核,31,0.05783582089552239
浙江省,量子传感器/精密测量,37,0.06902985074626866
浙江省,量子计算硬件/量子芯片,44,0.08208955223880597
浙江省,量子计算系统,171,0.31902985074626866
浙江省,量子计量/时间频率/PNT候选,49,0.0914179104477612
浙江省,量子软件/算法/模拟,11,0.020522388059701493
浙江省,量子通信与安全,189,0.35261194029850745
广东省,上游材料与核心部件,0,0.0
广东省,其他量子相关/待复核,53,0.0848
广东省,量子传感器/精密测量,42,0.0672
广东省,量子计算硬件/量子芯片,59,0.0944
广东省,量子计算系统,151,0.2416
广东省,量子计量/时间频率/PNT候选,61,0.0976
广东省,量子软件/算法/模拟,22,0.0352
广东省,量子通信与安全,237,0.3792
