年份,类别,专利数,企业专利数,严格核心专利数
2021,量子通信与安全,25,19,25
2021,量子计量/时间频率/PNT候选,19,3,1
2021,量子计算硬件/量子芯片,6,3,6
2021,量子传感器/精密测量,5,2,5
2021,量子计算系统,5,2,5
2021,其他量子相关/待复核,5,0,2
2022,量子计算硬件/量子芯片,2,2,2
2022,量子计算系统,6,2,5
2022,量子计量/时间频率/PNT候选,19,0,0
2022,量子通信与安全,21,19,21
2022,量子传感器/精密测量,10,3,10
2022,其他量子相关/待复核,5,1,3
2022,上游材料与核心部件,1,0,1
2023,量子通信与安全,26,20,26
2023,量子计量/时间频率/PNT候选,21,6,1
2023,量子计算系统,10,5,9
2023,量子传感器/精密测量,4,1,4
2023,量子软件/算法/模拟,3,2,1
2024,量子通信与安全,27,25,27
2024,量子计算硬件/量子芯片,10,7,10
2024,量子计量/时间频率/PNT候选,10,7,0
2024,量子计算系统,17,7,17
2024,量子传感器/精密测量,3,0,3
2024,量子软件/算法/模拟,3,1,3
2024,其他量子相关/待复核,1,1,0
2025,量子计算系统,19,10,19
2025,量子计量/时间频率/PNT候选,13,4,0
2025,量子通信与安全,29,20,29
2025,量子传感器/精密测量,10,1,10
2025,其他量子相关/待复核,5,1,0
2025,量子计算硬件/量子芯片,12,6,12
2025,上游材料与核心部件,2,0,2
2025,量子软件/算法/模拟,1,0,1
